商品ID,商品名称,商品类别,价格,品牌,上架时间,销量,库存,商品描述,平均评分
P035, 王者荣耀皮肤,游戏,99,腾讯,2023-08-20,1234,999,热门游戏皮肤,4.5
P036, 半泽直树,图书,149,人民文学出版社,2023-09-15,334,234,日经畅销小说,4.7
P037, Under Armour运动服,运动,999,Under Armour,2023-10-03,445,156,专业运动品牌服装,4.4
P038, 飞利浦电动牙刷,家居,799,飞利浦,2023-09-22,667,234,声波震动电动牙刷,4.5
P039, iPad Air,电子产品,4999,苹果,2023-08-12,445,89,平板电脑,4.8
P040, 海澜之家T恤,服装,199,海澜之家,2023-10-08,889,456,舒适日常T恤,4.3
P041, 哈佛管理课,图书,189,中信出版社,2023-09-05,334,167,管理学习课程,4.6
P042, 联想ThinkPad,电子产品,2999,联想,2023-09-18,556,89,商务笔记本电脑,4.5
P043, 欧普照明灯具,家居,399,欧普照明,2023-08-25,667,345,LED智能照明,4.4
P044, PUMA运动鞋,运动,3999,PUMA,2023-10-10,334,156,专业运动跑鞋,4.6
P045, 美的微波炉,家居,2499,美的,2023-09-12,445,234,智能微波炉,4.3
P046, 罗技鼠标,电子产品,399,罗技,2023-08-15,667,456,无线办公鼠标,4.5
P047, 安踏篮球鞋,运动,699,安踏,2023-09-25,556,234,国产专业篮球鞋,4.4
P048, 格力空调,家居,4999,格力,2023-10-05,334,89,变频节能空调,4.6
P049, 花西子口红,美妆,299,花西子,2023-08-20,445,167,国风彩妆品牌,4.7
P050, 九阳豆浆机,家居,599,九阳,2023-09-08,667,345,家用豆浆机,4.3
P051, 华为平板MatePad,电子产品,3999,华为,2023-09-30,445,89,高性能平板电脑,4.6
P052, 森马牛仔裤,服装,299,森马,2023-10-12,556,234,休闲牛仔裤,4.2
P053, 三体,图书,59,重庆出版社,2023-07-15,667,456,刘慈欣科幻小说,4.9
P054, 富士相机,电子产品,3999,富士,2023-08-18,334,67,复古相机设计,4.7
P055, 特步运动鞋,运动,499,特步,2023-09-20,445,156,专业运动鞋,4.3
P056, 苏泊尔电饭煲,家居,899,苏泊尔,2023-10-03,556,234,智能电饭煲,4.4
P057, 索尼电视,电子产品,5999,索尼,2023-09-05,223,89,4K智能电视,4.8
P058, 李宁运动服,运动,699,李宁,2023-08-25,667,345,国产运动品牌,4.5
P059, 小米电视,电子产品,2999,小米,2023-09-15,444,89,智能互联网电视,4.4
P060, 海尔冰箱,家居,4999,海尔,2023-10-08,333,67,变频节能冰箱,4.6
P061, vivo X90,电子产品,3499,vivo,2023-09-20,555,89,拍照智能手机,4.5
P062, 美的微波炉,家居,1299,美的,2023-08-10,444,156,家用微波炉,4.3
P063, 科沃斯扫地机器人,家居,1799,科沃斯,2023-09-25,333,89,智能清洁机器人,4.6
